county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,note,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,legal_aid,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Citrus,11462,3400,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.citrusclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,citrus,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:36:28.000Z,NA,NA,2020-03-22T20:00:09.000Z,recwvq6Kic6wv10OP,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Citrus County, Florida",28.8512851,-82.5141209,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Palm Beach,176970,56727,Fifteenth,✓,?,✖,?,?,✓,?,✖,https://15thcircuit.com/sites/default/files/administrative-orders/12.510.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.mypalmbeachclerk.com/,https://www.15thcircuit.com/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,palm-beach,?,?,"Sherriff won't evict for 30-60 days
",TRUE,2020-06-24T15:37:39.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,rec92WyJoifDN4Wow,Fifteenth,✖,✖,✓,✖,✖,✓,✓,https://www.15thcircuit.com/sites/default/files/administrative-orders/12.512.pdf,(✓),NA,2020-05-21T02:35:16.000Z,"Palm Beach County, Florida",26.6279798,-80.4494174,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,0,-3,3,-3,3,3,3
Osceola,46286,15639,Ninth,✓,✓,✖,✖,?,✓,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.osceolaclerk.com/,https://www.ninthcircuit.org/news/covid-19-information-and-update,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,osceola,?,?,"Drop box for rent payments
",NA,2020-06-24T15:37:39.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recuPdvr7GN8wDR7r,Ninth,✖,✖,✖,✖,✖,✓,✖,https://www.ninthcircuit.org/sites/default/files/AO2020-11-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Osceola County, Florida",28.0443842,-81.1437541,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Walton,7896,1983,First,✓,✓,✖,✓,✓,✓,✓,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://clerkofcourts.co.walton.fl.us/,https://www.firstjudicialcircuit.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,walton,?,?,"Serving writs unless except HUD evictions.
",TRUE,2020-06-24T15:38:23.000Z,NA,NA,2020-03-22T20:00:09.000Z,recnwg5MhJADDAEtM,First,(✓),✖,✓,✓,✓,✓,✓,https://www.firstjudicialcircuit.org/sites/default/files/document_library/WAL%20COVID-19%20Essential%20and%20Critical%20Trial%20Court%20Proceedings%20Plan.pdf,NA,NA,2020-05-21T02:34:53.000Z,"Walton County, Florida",30.6204939,-86.1912678,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,3,0
Lake,33965,9246,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.lakecountyclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,lake,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recX4PcVRpQjwVjp1,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Lake County, Florida",28.7006859,-81.78994,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Taylor,1820,378,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.taylorclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,taylor,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recZ8PVlrTlGLsD0L,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Taylor County, Florida",30.0926733,-83.6377926,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Bradford,2403,536,Eighth,✓,✓,✖,✖,✓,?,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.bradfordcountyfl.gov/circuit_court,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,bradford,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:36:14.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recS9Pghr6gOtVASo,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Bradford County, Florida",29.9715087,-82.1608653,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Monroe,14219,4240,Sixteenth,✓,?,✖,?,?,?,✓,✖,http://www.monroecountyem.com/1183/Housings-and-Evictions,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://www.clerk-of-the-court.com/,http://www.keyscourts.net/covid-19-information-sixteenth-judicial-circuit,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,monroe,?,?,"3/30 update from phone call with clerk's office: Rent drop box available. They are waiting on supreme court to give directive on evictions. Courts are closed, so some functions may be delayed, but clerk is not making policy change yet.
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recsieSfOWBJYHG0q,Sixteenth,✖,✖,✓,(✓),✓,✓,✓,https://0201.nccdn.net/1_2/000/000/16b/be1/COVID-19-Emergency-Procedures-2.079.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Monroe County, Florida",25.582937,-80.970822,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Hendry,3804,907,Twentieth,✓,✓,✖,?,✓,✓,✓,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✓,https://www.hendryclerk.org/,https://www.ca.cjis20.org/home/main/homepage.asp,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hendry,?,?,"
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recE4NvIREVRFRsgY,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hendry County, Florida",26.597094,-81.1520667,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Jackson,4903,1103,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.jacksonclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,jackson,?,✖,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recOKdCa3J65qtdxb,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Jackson County, Florida",30.8013861,-85.2063186,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Duval,151180,41741,Fourth,✓,✖,✖,?,?,✓,✓,✖,http://www2.duvalclerk.com/about/office-status/#contentTop,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,http://www2.duvalclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,duval,?,?,"Rent drop box. Judge can authorize execution of writ with good cause + extraordinary circumstances
",NA,2020-06-24T15:37:01.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recV5vnqEeaFlrydD,Fourth,✓,✓,✓,(✓),✓,✓,✓,http://www2.duvalclerk.com/about/office-status/#contentTop,NA,NA,2020-05-21T02:35:16.000Z,"Duval County, Florida",30.3540073,-81.6632109,8,2,0,0,NA,0,0,1,-1,2,-5,-2,3,0,-0.5,3,3,-3,-3,3,0
Indian River,17586,5302,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.clerk.indian-river.org/en/,http://www.circuit19.org/covid19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,indian-river,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec5OAbV2M0BjHlb7,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Indian River County, Florida",27.7041555,-80.5894422,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Marion,35052,9086,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.marioncountyclerk.org/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,marion,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recvzvrVfLx9W9b0g,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Marion County, Florida",29.2182454,-82.0626948,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gulf,1454,327,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://gulfclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,gulf,?,✖,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recGArJ489D8WZH0y,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Gulf County, Florida",29.9665252,-85.2175889,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Hamilton,1228,255,Third,✓,?,✖,?,✖,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.hamiltonclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hamilton,?,?,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recXuGUdsjp5BnWtl,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Hamilton County, Florida",30.5232289,-82.9763531,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Polk,78539,20305,Tenth,✓,?,✖,?,✓,?,?,✖,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.polkcountyclerk.net/,http://www.jud10.flcourts.org/?q=news/coronavirus-disease-2019-covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,polk,?,?,"Court punts writs back to clerk & sheriff
Sheriff authorized to stay execution of writs.
AOSC20-17 suspends “the requirement in Florida Rule of Civil Procedure 1.580(a) for the clerk to issue a writ of possession “forthwith”. Each Sheriff of the Tenth Judicial Circuit is authorized to stay execution of writs of possession and orders directing removal of tenants through eviction proceedings that were issued by the Court prior to entry of AOSC20-17.
",NA,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recEeADOwrKXe0gEa,Tenth,✖,?,✓,✓,✓,✓,✓,http://www.polkcountyclerk.net/covid-19/#4,NA,NA,2020-05-21T02:35:16.000Z,"Polk County, Florida",27.9448537,-81.7268789,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Hillsborough,223410,60755,Thirteenth,✓,?,✖,?,✖,?,✖,✖,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✓,https://www.hillsclerk.com/,https://www.fljud13.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hillsborough,?,?,"<https://teamhcso.com/Section/88adfe5c-b5c0-461b-a731-476e8a46d186/Civil-Process>
",NA,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec6oE8VEdBhwJSiQ,Thirteenth,✓,✓,✖,✖,✖,✖,✓,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,NA,NA,2020-05-21T02:34:53.000Z,"Hillsborough County, Florida",27.9184543,-82.3488057,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,3,3,-3,3,0
Suwannee,4325,898,Third,✓,✓,✖,✓,✓,✓,✓,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✓,http://www.suwgov.org/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,suwannee,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recQsxmZpGwbf2YxZ,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Suwannee County, Florida",30.2101192,-82.9873377,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
St. Johns,23957,6508,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://stjohnsclerk.com/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,st-johns,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recMQH7qEBs4xVOA2,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"St. Johns County, Florida",29.9032284,-81.4145468,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Dixie,1095,244,Third,✓,✖,✖,✖,✓,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://dixieclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,dixie,?,?,"
",TRUE,2020-06-24T15:37:01.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recGJaEXzeQLpUmVP,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Dixie County, Florida",29.6214008,-83.17351,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,3,-3,-3,3,3,0
Washington,1975,496,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.washingtonclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,washington,?,✖,"
",TRUE,2020-06-24T15:38:23.000Z,NA,NA,2020-03-22T20:00:09.000Z,recz926FvCH7Sr5Ba,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Washington County, Florida",30.6009343,-85.6762025,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Wakulla,2226,501,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.wakullaclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,wakulla,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency. dispatch person, was informed they were “not doing anymore” and “since 03/30/2020” her words.  However, she was not in the Civil Process Division and then forwarded me to the Civil Process Division.  I left a message with my question and asked them to return my call as soon as they can.
",TRUE,2020-06-24T15:38:23.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec2Y4zNPVKnInpue,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Wakulla County, Florida",30.1480038,-84.3543512,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
