county,number_of_renter_households,number_of_low_income_60_percent_ami_cost_burdened_renter_households,circuit.x,rent_past_due,landlord_files_for_eviction_in_court,landlords_send_notice,clerk_issues_summons,tenant_is_served_eviction_papers,is_the_clerk_accepting_rent_posting_in_person,tenant_must_respond_and_pay_past_due_rent_to_court,sheriff_enforces_writ_of_possession,link_to_sources,note,bottom_line,clerk_issues_writ_of_possession,clerk_website,circuit_court_website,legal_aid,slug,landlord_files_for_default_judgment,judge_rules_no_hearing_required,note_to_file,small_businesses_included,last_changed,until,end_date,created_time.x,id.y,circuit.y,limited_to_non_payment,cause_evictions_allowed,remote_hearings_allowed,emergency_exemption,discretion_of_judge_exemption,commercial_included,only_limits_writs,ao_link,cares_ao,ao_cares_notes,created_time.y,geo,lat,long,pt_1_1_evict_init,pt_1_2_evict_init,pt_2_1_protect,pt_2_2_protect,pt_2_3_protect,pt_2_4_protect,pt_2_5_protect,pt_3_1_pending,pt_3_2_pending,pt_4_6_tenant_do,pt_6_howlong,pt_10_01_court,pt_10_02_court,pt_10_03_court,pt_10_08_court,pt_10_09_court,pt_10_10_court,pt_10_11_court,pt_10_12_court,pt_10_13_court,pt_10_14_court
Putnam,7050,1915,Seventh,✓,?,✖,?,?,?,?,?,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://clerk.putnam-fl.com/,http://www.circuit7.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,putnam,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,2020-06-01,NA,2020-03-22T20:00:09.000Z,recFmq1haVgFF8LlK,Seventh,✖,?,✓,✖,✓,✓,✓,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Putnam County, Florida",29.6266155,-81.7230549,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,-3,0
Union,1083,241,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://unionclerk.com/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,union,?,?,"Sheriff active, but court has not sent any since 3/24
",TRUE,2020-06-24T15:37:44.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recAPLMhbgiCXhKeN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Union County, Florida",30.044304,-82.3954479,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Broward,260777,80940,Seventeenth,✓,?,✖,?,?,✖,(✓),✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,NA,Evictions Suspended,✖,https://www.browardclerk.org/,http://www.17th.flcourts.org/,https://lasbroward.wpengine.com/notice-regarding-the-coronavirus,broward,✖,✖,"Landlords may seek default in extraordinary cases

Deadlines not tolled, but equivalent: No defaults may be entered until normal operations resume, LL cannot seek default outside exigent circumstances
",NA,2020-06-24T15:24:16.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recRHksHqGAsH4pv7,Seventeenth,✖,✖,✓,✓,✓,✓,✖,http://www.17th.flcourts.org/wp-content/uploads/2020/04/2020-32-Temp.pdf,✓,"Prior to any party seeking a final judgment of eviction, such party shall complete and file a verification of compliance with the CARES Act in the same format as provided in Attachment “A.” This requirement shall expire without further administrative order or amendment to this administrative order on July 28, 2020
",2020-05-21T02:35:16.000Z,"Broward County, Florida",26.1598074,-80.4623642,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,-3,-3,3,3,3
Nassau,7301,1615,Fourth,✓,✓,✖,✖,✖,✖,✖,✖,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/Nassau-AO-2020-16-Ext-of-Emergency-Procedures.aspx,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.nassauclerk.com/,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,nassau,(✓),?,"Rent drop box. Serving writs unless protected by federal moratorium.

\- 4/6 - New Admin Order suspends all eviction cases after filing until further order of the court
",TRUE,2020-06-24T15:35:45.000Z,NA,2020-07-02,2020-03-22T20:00:09.000Z,recrNJ3W2tXlDBsyg,Fourth,✖,✖,✓,✓,✓,✓,✓,https://www.jud4.org/Top-Navigation/Court-Administration/COVID-19-Emergency-Orders/docs/AO-2020-11-Nassau-Foreclosures-and-Evictions.aspx,NA,NA,2020-05-21T02:34:53.000Z,"Nassau County, Florida",30.6624329,-81.7707334,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,-0.5,-0.5,-3,3,3,3,3,0
Baker,1999,442,Eighth,✓,✓,✖,✖,✓,✓,✓,✓,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,http://www.bakercountyfl.org/clerk/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,baker,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:36:05.000Z,2020-06-02,NA,2020-03-22T19:51:25.000Z,recDAlLJjmIKYAeYN,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Baker County, Florida",30.3143459,-82.2847163,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,-3,0
Lafayette,604,125,Third,✓,?,✖,?,?,?,?,✖,https://thirdcircuitfl.org/orders/ao-2020-002/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.lafayetteclerk.com/,https://thirdcircuitfl.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,lafayette,?,?,"TRLS confirmed with sheriff that no writs are being served as of sheriff 3/26
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recdsmc26vWvR1Z2b,Third,✖,✖,✓,✓,✓,✓,(✓),https://thirdcircuitfl.org/orders/ao-2020-002/,NA,NA,2020-05-21T02:35:16.000Z,"Lafayette County, Florida",29.9978185,-83.2221527,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,-3,-3,-3,3,0
Hernando,15471,4848,Fifth,✓,?,✖,?,?,?,✖,✖,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,?,https://www.hernandoclerk.com/,https://www.circuit5.org/administrative-orders/?term=covid-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,hernando,?,?,"Waiting on renewed order from circuit on when to resume. Sherriff shall not serve writs until courts resume normal operations. Deadlines during closure will be extended upon reopening. <https://www.circuit5.org/wp-content/uploads/2020/03/a-2020-12-c.pdf>
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recFdSGgedIj533PR,Fifth,✖,✖,✓,(✓),✓,✓,✓,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Hernando County, Florida",28.5710156,-82.4605068,8,2,2,0,2,0,0,1,-1,2,-5,-2,3,0,-0.5,-3,3,3,-3,3,0
Gadsden,4805,1081,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,http://www.gadsdenclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,gadsden,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency
",TRUE,2020-06-24T15:37:01.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec9rQG9qYpkkQ3IY,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Gadsden County, Florida",30.5937346,-84.6389937,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
DeSoto,3263,903,Twelfth,✓,✓,✖,✖,?,✖,✖,?,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.desotoclerk.com/,https://www.jud12.flcourts.org/News/COVID-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,desoto,?,✖,"
",TRUE,2020-06-24T15:37:01.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,recx3SGrtMoue06Te,Twelfth,✖,✖,✖,✖,✓,✓,✖,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,NA,NA,2020-05-21T02:35:16.000Z,"DeSoto County, Florida",27.190253,-81.8244232,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,-0.5,-3,-3,3,3,-3,0
Pasco,50129,14303,Sixth,✓,?,✖,?,?,?,?,?,https://www.tampabay.com/news/health/2020/03/27/evictions-foreclosures-could-be-halted-under-florida-supreme-court-coronavirus-order/,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.pascoclerk.com/,http://www.jud6.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,pasco,?,?,"Evictions and foreclosures are suspended for 45 days in Florida in response to the COVID-19 emergency, the result of an order issued by Gov. Ron DeSantis. The Tampa Bay Times has details. Unaffected: Because they are not foreclosures or evictions, per se, tax-deed sales will go forward as scheduled. The next sale is set for April 23.

Additionally, our Office continues to receive and begin to process new applications for foreclosure, issuing them only after Gov. DeSantis ends the suspension.
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,reclwFDmw912hKcal,Sixth,✖,✖,✓,✓,✓,✓,✓,https://www.pascoclerk.com/809/COVID-19-Coronavirus-Pandemic,NA,NA,2020-05-21T02:35:16.000Z,"Pasco County, Florida",28.2996183,-82.4522702,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,3,-3,0
Seminole,63192,15583,Eighteenth,✓,✖,✖,✖,✖,?,✖,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.seminoleclerk.org/,https://flcourts18.org/covid-19-emergency-information/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,seminole,?,?,"The Sheriff and all Process Servers are directed to suspend all service of process...The suspension of time limits for service shall
restore additional days equal to the number stated herein.
",NA,2020-06-24T15:37:39.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recCJWpjomAmBwdYg,Eighteenth,✖,✖,✖,✖,✖,✓,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Seminole County, Florida",28.7225829,-81.2353683,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,3,-3,3,3,3,0
Holmes,1646,413,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://holmesclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,holmes,?,✖,"
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,recMLJFa7YbkW7jYz,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Holmes County, Florida",30.8918676,-85.8138207,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Jefferson,1298,292,Second,✓,✓,✖,?,✓,✖,✓,✖,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.jeffersonclerk.com/,http://2ndcircuit.leoncountyfl.gov/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,jefferson,?,?,"Sherrifs authorized to stay writs for duration of the public health emergency.  Civil Process Division (Cricket), she said they are not serving the Writs of Possession, but serving all others.  She said they stopped serving the Writs of Possession on March 23, 2020, when they received the Executive Order.
",TRUE,2020-06-24T15:37:22.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec674IkXUViopbjP,Second,✖,✖,✓,(✓),✓,✓,✓,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,NA,NA,2020-05-21T02:35:16.000Z,"Jefferson County, Florida",30.3949531,-83.9326576,8,2,2,0,2,0,0,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,3,3,0
Bay,27643,6941,Fourteenth,✓,✓,✖,✓,?,✓,✓,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,http://www.baycoclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,bay,?,✖,"
",TRUE,2020-06-24T15:35:52.000Z,NA,NA,2020-03-22T19:51:25.000Z,recxm2zp08v85xOXD,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Bay County, Florida",30.2481693,-85.6593633,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Levy,3365,750,Eighth,✓,✓,✖,✖,✓,?,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.levyclerk.com/,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,levy,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:37:26.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,rec7m1HfwICOzVKOF,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Levy County, Florida",29.3008632,-82.7824592,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
Charlotte,16352,4546,Twentieth,✓,?,✖,?,✓,?,?,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://charlotteclerk.com/,https://www.ca.cjis20.org/home/main/homepage.asp,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,charlotte,?,?,"
",NA,2020-06-24T15:36:27.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec7hwVjNGWpF9FDh,Twentieth,✖,✓,✓,(✓),✓,?,✓,https://www.ca.cjis20.org/pdf/ao/ao_2_39_amended.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Charlotte County, Florida",26.9013269,-81.9156799,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,0,-0.5,-3,3,-3,-3,3,0
Martin,16022,3852,Nineteenth,✓,?,✖,✓,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.martinclerk.com/,http://www.circuit19.org/covid19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,martin,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recpUmvdegEpHmtTq,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Martin County, Florida",27.0673711,-80.3994412,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Brevard,67309,18890,Eighteenth,✓,✖,✖,✖,✖,?,✖,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,http://www.brevardclerk.us/,https://flcourts18.org/covid-19-emergency-information/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,brevard,?,?,"The Sheriff and all Process Servers are directed to suspend all service of process...The suspension of time limits for service shall
restore additional days equal to the number stated herein.
",NA,2020-06-24T15:36:18.000Z,2020-05-29,NA,2020-03-22T20:00:09.000Z,recXtYzYQsi3LmDp9,Eighteenth,✖,✖,✖,✖,✖,✓,✖,https://flcourts18.org/docs/Covid19/AO20-15-amd-2.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Brevard County, Florida",28.2446658,-80.728624,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,0,3,-3,3,3,3,0
St. Lucie,31780,10268,Nineteenth,✓,?,✖,?,✖,?,?,✖,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",?,https://www.stlucieclerk.com/,http://www.circuit19.org/covid19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,st-lucie,?,?,"Sheriff authorized to stay writs and eviction summons
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,recuanCfjpYOybXbC,Nineteenth,✖,✓,✓,✓,✓,✓,✓,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,NA,NA,2020-05-21T02:35:16.000Z,"St. Lucie County, Florida",27.3900897,-80.457904,8,2,2,0,2,0,5,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Santa Rosa,16459,3919,First,✓,✓,✖,✓,?,✓,✓,✖,NA,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✓,https://santarosaclerk.com/,https://www.firstjudicialcircuit.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,santa-rosa,?,?,"
",TRUE,2020-06-24T15:37:39.000Z,NA,NA,2020-03-22T20:00:09.000Z,rec0DoBl3vFTMF4gA,First,(✓),✖,✓,✓,✓,✓,✓,https://www.firstjudicialcircuit.org/sites/default/files/document_library/SRC%20Essential%20Functions%20Plan%20Memo%20to%20Chief%20Judge%20March%2020%2C%20202003202020104314_0.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Santa Rosa County, Florida",30.6964502,-87.0097524,8,2,0,0,NA,0,0,1,-1,2,-5,-2,0,-0.5,-0.5,-3,3,-3,-3,3,0
Manatee,47431,14106,Twelfth,✓,✓,✖,✖,?,?,?,?,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://www.manateeclerk.com/,https://www.jud12.flcourts.org/News/COVID-19,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,manatee,?,✖,"
",TRUE,2020-06-24T15:37:39.000Z,2020-06-02,NA,2020-03-22T20:00:09.000Z,rec06ntpntnJ1kb6y,Twelfth,✖,✖,✖,✖,✓,✓,✖,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,NA,NA,2020-05-21T02:35:16.000Z,"Manatee County, Florida",27.5213933,-82.3801566,8,2,2,0,2,0,0,1,-1,2,-5,0,3,0,-0.5,-3,-3,-3,3,-3,0
Calhoun,1222,275,Fourteenth,✓,?,✖,?,?,?,?,✖,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,Apply for free legal aid services at tinyurl.com/flonlineintake,"Evictions Active, but Tenant Removal Paused",✖,https://www.calhounclerk.com/,https://www.jud14.flcourts.org/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,calhoun,?,✖,"
",TRUE,2020-06-24T15:36:25.000Z,NA,NA,2020-03-22T20:00:09.000Z,recv2ph1HE9fprHXF,Fourteenth,✖,✖,✖,✓,✓,✓,✓,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Calhoun County, Florida",30.3853734,-85.2223516,8,2,2,0,2,0,0,1,-1,2,-5,0,0,-0.5,-0.5,-3,3,-3,3,3,0
Alachua,38275,12375,Eighth,✓,✓,✖,✖,✓,✓,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,Residential and commercial evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake,Evictions Suspended,✖,https://alachuacounty.us/depts/clerk/Pages/Clerk.aspx,https://circuit8.org/covid-19/,https://floi.legalserver.org/modules/matter/extern_intake.php?pid=38&h=757e8c,alachua,?,?,"Extension to June 2: <https://circuit8.org/wp-content/uploads/11.31-Extension-of-Foreclosure-and-Evictions.pdf>
",TRUE,2020-06-24T15:35:59.000Z,2020-06-02,NA,2020-03-22T19:51:25.000Z,recdVBhJamg63O3dq,Eighth,✓,✓,✖,✖,✖,✓,✖,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,NA,NA,2020-05-21T02:35:16.000Z,"Alachua County, Florida",29.675568,-82.3640109,8,2,0,0,NA,0,0,1,-1,2,-5,0,3,0,0,-3,-3,-3,3,3,0
