x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,expired_replaced,prohibits_law_enforcement_from_executing_new_and_past_orders_of_eviction,status_of_non_emergency_civil_court_proceedings,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,order_declaration_discusses_effect_of_housing_on_public_health,order_declaration_discusses_economic_consequences_on_housing,model_order,brief_summary_of_what_order_does,moratorium_extended_past_emergency_declaration,free_utility_reconnection,no_utility_disconnection,no_reporting_to_credit_bureau,grace_period_to_pay_rent,length_of_time_for_grace_period,no_late_fees,length_of_time_for_no_late_fees,legal_counsel_for_tenants,no_rent_raises,length_of_time_for_no_rent_raises,foreclosure_moratorium,length_of_time_for_foreclosure_moratorium,state_field
3,ALABAMA (AL) CURRENT SUMMARY,Evictions Can Resume (In Person),"The Governor had suspended enforcement of eviction orders for nonpayment of rent, but that order lapsed on June 1. Alabama also suspended in-person civil cases throughout the state, which should have applied to evictions and foreclosures, although it did allow remote proceedings. In person proceedings resumed on May 15. Cities/counties in the state have shied away from explicitly addressing evictions. However, several utility companies have announced that they will not suspend services to customers during the crisis in Birmingham, Decatur, Mobile, and Piedmont.",Court,Y,,,,6/1/20,5/15/20,N,Y,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,N,N,Y,N/A,N,N,N,N,,N,N,N,N,N,,N,,N,N,,N,,ALABAMA
13,ALASKA (AK) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On March 20, the Governor issued an executive order that suspends evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation. On April 10, the legislature passed a bill that suspends any statute that would give a cause of action for evictions or foreclosures, but only as applied to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding. On April 3, the State Supreme Court placed a moratorium on all non-emergency cases.  On April 24, the Court began holding remote eviction hearings in cases not covered under the legislature's prohibition or the CARES Act moratorium.  On June 1, the Supreme Court's moratorium on in-person proceedings ended, but the legislature's prohibition on evictions resulting from COVID-19 financial hardship remains in effect; the Court's current order also continues to recognize judges' discretion to stay issued eviction orders due to sickness, quarantine, or self-quarantine.  Some localities have suspended utility and water shutoffs.",Court,Y,,,,6/30/20 (legislation),,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,Y,Non-payment related to COVID-19,Y,5/1/20,N,N,COVID-19 Related,Y,N,Local Discretion,N,N,Y,N,N,,N,Y,Y,N,N,,N,,N,N,,Y,06/30/20,ALASKA
25,ARIZONA (AZ) CURRENT SUMMARY,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show (1) that they have suffered a substantial loss of income due to COVID-19, (2) that they or a family member have been ordered to stay in quarantine by a medical professional, or (3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court.  Statutory deadlines for courts to hold eviction proceedings are tolled from 3/18-8/1, and that time will not be counted in computing the deadline once the tolling period ends. Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants.",Court/Governor,COVID-19 Related,,,,7/22/20,,N,N,Local Discretion,Y,Y,Y,Y,N,N,Y,Non-payment related to COVID-19,Y,8/1/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,COVID-19 Related,N,N,N,Y,N,,N,,,,,,,,,,,,,ARIZONA
37,ARKANSAS (AR) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"As of May 18, eviction proceedings may proceed in-person or remotely at the discretion of the presiding judge. However, plaintiffs must certify that the property at issue is not covered by the CARES Act moratorium.",Court,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,until further order (time to serve complaint),N,N,N,N,N,N,N,Y,N,N,N,,N,,,,,,,,,,,,,ARKANSAS
47,CALIFORNIA (CA) SUMMARY,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",Court/Governor,COVID-19 Related,,,,post-emergency,,N,Y,Local Discretion,Y,Y,Y,Y,Y,Y,Y,N/A,Y,Deadline for tenant to file a response in an eviction case is extended from 5 days to 60 days; all deadlines that would have expired between March 20 and April 20 are extended by 30 days,N,N,N,Y,N,COVID-19 Related,N,,Y,Y,Y,,,,,,,,,,,,,,,CALIFORNIA
56,COLORADO (CO) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"Gov. Polis's current executive order requires that landlords must provide tenants with thirty (30) days’ notice of any default for non-payment before initiating or filing action for forcible entry and detainer. The order also prohibits late fees in all cases and requests that landlords implement the model repayment plan created by the Dept. of Local Affairs. The state has established a low-income rental assistance program for households impacted by COVID-19, and has devoted funding to direct housing assistance and legal representation. Nearly all judicial districts and several counties have issued orders continuing most civil matters or ordering them to be done via teleconference. Finally, several utilities providers in Colorado have suspended shutoffs; several towns and cities have asked providers to do the same or else said that they will not disconnect service.",Court/Governor,Local Discretion,,,,6/13/20,6/13/20,N,N,Local Discretion,Y,Y,Y,N,N,N/A,Y,Non-payment related to COVID-19,N,N/A,N,N,N,Local Discretion,N,N,Y,N,N,Y,N,,,,,,,,Y,,,,,,,COLORADO
71,CONNECTICUT (CT) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"Per the Governor's order, eviction notices may not be issued to any tenant until July 1. Tenants have a 60-day grace period to pay April rent, and may request an additional 60-day grace period for May rent if they are facing financial hardship due to COVID-19. The Chief Administrative Judge for Civil Matters has announced that execution of evictions is stayed through July 1, and foreclosure sales scheduled for March-May will take place in July. Further, during the time period when only Priority One cases are being heard by the court, all civil trials are suspended. The Governor has also suspended all statutory deadlines relating to the issuance of civil judgments. There is a 30-day utility shutoff moratorium in place as of March 13 and subject to renewal. The Governor announced on 3/31/20 that the state had reached a deal with over 50 credit unions and banks to delay mortgage payments for 90 days.",Court/Governor,Y,,,,8/1/20  (court),,N,Y,All Suspended,N,Y,Y,N,Y,N,N,N/A,Y,Suspends all statutory time limits for judges to hear cases/make decisions in civil actions,Y,Y,Y,Y,Y,Y,N,,N,N,N,,,,Y,Y,Y,,Y,,,,,Y,08/22/20,CONNECTICUT
86,DELAWARE (DE) SUMMARY,Eviction Cases & Enforcement Suspended,"Governor John Carney issued a comprehensive executive order establishing moratoriums for evictions, foreclosures, and utility shutoffs during the duration of the Covid-19 crisis. The order prevents new filings, tolls deadlines in pending cases until 31 days after the emergency ends, and prevents execution of issued judgments, and prohibits landlords from charging late fees. It also prevents new foreclosure actions, tolls deadlines in ongoing foreclosure cases, and prevents sheriff sales and the execution of writs of possession until 31 days after the emergency ends. The Justice of the Peace Court has also ordered that all landlord/tenant cases and ordered/scheduled evictions between March 17 and April 16 be delayed until after May 1, with exceptions for ""landlord-tenant matters involving essential services and/or harm to persons or property.""",Court/Governor,Y,,,,post-emergency,,N,Y,Local Discretion,Y,Y,Y,N,N,Y,N,N/A,Y,Deadlines in ongoing eviction and foreclosure proceedings are tolled to no sooner than 31st day after state of emergency ends,N,N,Y,Y,N,Y,N,,Y,N,Y,,,,,,,,,,,,,,,DELAWARE
99,FLORIDA (FL) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",Court/Governor,COVID-19 Related,,,,7/1/20 (governor),,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,"requirement for writ of possession to be issued ""forthwith"" is suspended through 07/02",N,N,In Effect Y,In Effect Y,N,N,N,N,N,Y,N,,,,,,,,,,,,,,,FLORIDA
112,GEORGIA (GA) SUMMARY,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",Court,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/13/20,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,GEORGIA
123,HAWAII (HI) CURRENTSUMMARY,Civil Cases & Eviction Enforcement Suspended,"The governor has issued an order suspending laws that allow for terminating tenancies and filing/prosecuting eviction actions for nonpayment of rent. The Hawaii Department of Public Safety Sheriff Division is suspending all eviction activities. Hawaii's Chief Justice issued an order presumptively suspending all civil hearings, including landlord-tenant matters, until after April 30. Most circuits have issued orders postponing all civil matters or in-person conferences ""[e]xcept for civil proceedings deemed urgent by the presiding judge."" The governor's office and the Public Utilities Commission are working with utility companies. Honolulu's Board of Water Supply will not shut off water service. And several utilities companies have announced that they will not shut off service due to nonpayment.",Court/Governor,Y,,,,6/30/20 (governor),,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,Y,Y,Y,N,Y,N,N,N,N,N,,,,,,,,,,,,,,,HAWAII
136,IDAHO (ID) CURRENTSUMMARY,Evictions Can Resume (Remote),"Idaho had a statewide order directing that eviction cases be continued except for emergencies. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system and are hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs.",Court,Y,,,,5/1/20,,N,N,N/A,Y,Y,N,N,N,Y,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,IDAHO
147,ILLINOIS (IL) CURRENT SUMMARY,Eviction Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" This order has been extended through 7/26. The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines. The State Supreme Court has ruled that plaintiffs in all residential actions must file an affidavit certifying that the property at issue is not covered under the CARES Act. The state has funded a rental and mortgage assistance program for residents struggling to make payments as a result of COVID-19. Additional funding has also been provided to the state's low income energy assistance program (LIHEAP). A moratorium on utility disconnections is in place until 8/1.",Court/Governor,Y,,,,07/26/20,,N,Y,Local Discretion,Y,Y,Y,N,N,N,N,N/A,Y,allows courts to suspend deadlines/procedures for a period ending no later than 30 days after end of emergency,N,N,N,Local Discretion,N,Y,N,Y,N,N,N,,,Y,Y,,,,,,,,,,,ILLINOIS
168,INDIANA (IN) CURRENT SUMMARY,Eviction Cases Suspended,"In May, the Governor issued an executive order lifting the prohibition against emergency eviction and foreclosure actions as of May 22, and all evictions as of July 1. The Supreme Court of Indiana issued clarifying guidance in March that filings are still being accepted, and urging courts to consider public health, safety, and property values when using their discretion to decide whether to stay non-emergency proceedings. On 7/13, households can begin applying for the state's rental assistance program, which provides up to $500 payments for four months. Indiana has also placed a statewide moratorium on utility shut-offs and individual companies have announced that they will further suspend shutoffs.",Court/Governor,Y,,,,8/1/2020,,N,N,Local Discretion,Y,Y,Y,N,Y,N,N,N/A,Y,Local discretion up to 8/14/20,N,In Effect Y,In Effect Y,Local Discretion,N,N,N,N,Y,Y,N,,,,,,,,,,,,,Y,07/01/20,INDIANA
182,IOWA (IA) CURRENT SUMMARY,Evictions Can Resume (Remote),"Governor Kim Reynolds issued three orders suspending statutory provisions that allow plaintiffs to bring eviction and foreclosure actions for the duration of the public health proclamation; these orders expired on May 27th. The state Supreme Court has directed that forcible entry and detainer proceedings should either be continued to a date after June 15th, or conducted by phone at a local court's discretion. Utilities are not allowed to be shut off under state order until May 13th. On May 29, the state announced a statewide rent and mortgage relief program.",Court/Governor,Y,,,,05/27/20,05/27/20,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,Y,6/1/2020 (statutes of limitations),N,Y,In Effect Y,Local Discretion,N,N,N,Y,N,N,,,,,,,,,,,,,,,,IOWA
199,KANSAS (KS) CURRENT SUMMARY,Eviction Cases Can Resume (Remote),"Courts in Kansas are completing only essential functions in person, which do not appear to include evictions and foreclosures. As of 05/01, deadlines for judicial proceedings were suspended, but judges may issue orders in individual cases, including eviction cases, setting deadlines for cases to move forward. Before its expiration on May 31, Governor Kelly's executive order declared that eviction and foreclosure proceedings could not be brought as a result of nonpayment due to financial hardship related to COVID-19.",Court/Governor,Y,,,,05/31/2020,,N,N,Local Discretion,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,Y,until further order,N,Y,Y,N,N,N,N,N,Y,Y,N,,,,,,,,,,,,,,,KANSAS
210,KENTUCKY (KY) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"Governor Andy Beshear has stated that evictions are suspended, and has directed state law enforcement officers not to enforce eviction orders for residential premises for the duration of the statewide emergency. Under the State Supreme Court's order, except for emergency and statutorily required proceedings, evictions are continued and new evictions cannot be filed until 30 days after the expiration of the order. The state's Public Service Commission announced on March 16, that it would order all utilities under its jurisdiction to stop shut-offs for non-payments and late payments for at least thirty days.",Court/Governor,Y,,,,end of emergency,,N,Y,Local Discretion,Y,Y,Y,N,N,Y,Y,Non-payment,N,,N,N,Y,Y,N,Y,N,Y,Y,N,N,,,,,,,,,,,,,,,KENTUCKY
221,LOUISIANA (LA) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"The Governor's Executive Order suspends deadlines in all legal proceedings in all courts until June 15, 2020.",Court/Governor,Y,,,,6/15/20 (governor),6/15/20,N,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,LOUISIANA
240,MAINE (ME) CURRENTSUMMARY,Eviction Cases & Enforcement Suspended,"Maine's Judicial Branch ordered from March 18, 2020 through May 30, 2020, all evictions and foreclosures are suspended; the Supreme Court has also ordered that previously scheduled cases will not be heard and new cases will not be scheduled for a hearing until August 3, 2020 at the earliest as part of the Judicial Branch's phased reopening plan. Governor Mills issued an order prohibiting writs of restitution from being executed except in cases of imminent risk of harm or criminal activity, and extending the time by which a notice has to be given to terminate a tenancy at will. The state has also issued a statewide moratorium on utility shutoffs.",Court,Y,,,,8/3/20,,N,Y,Local Discretion,Y,Y,Y,N,Y,Y,N,Non-payment,N,,N,N,N,Y,N,Y,N,N,N,Y,N,,,,,,,,,,,,,,,MAINE
248,MARYLAND (MD) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"The governor passed an eviction moratorium stating that evictions should not issue if the tenant is subject to financial hardship due to COVID-19. This order lasts the duration of the state of emergency. The State Supreme Court rescinded its moratorium on residential evictions and foreclosures, and courts will begin hearing these matters 7/25. The court also announced that all parties seeking forclosures, as well as new and pending evictions, must file a Declaration of Compliance with the CARES Act. On 6/26, the Governor announced a rental assistance program with funding both for assisted housing relief, and for eviction rental support to local goverments.",Court/Governor,COVID-19 Related,,,,7/25/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,Y,Y,N,N,N/A,Y,07/20/20,N,N,N,Y,COVID-19 Related,N,N,Y,Y,Y,N,,,,Y,,,,,,,,,,,MARYLAND
274,MASSACHUSETTS (MA) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Massachusetts legislature passed, and the governor signed, a model COVID-19 eviction moratorium on April 17, 2020. The emergency legislation will be in effect until 45 days after the governor's emergency declaration ends, or for 120 days, whichever is sooner. It freezes all five stages of evictions, applies to commercial, residential real estate and foreclosure. Landlords would be prohibited from terminanting a tenancy and giving tenants a notice to quit. In addition, landlords and mortgagors are prohibited from issuing late fees and reporting to credit agencies where a nonpayment is due to COVID-19 financial hardship. Currently, the State-Level housing court order suspends eviction and/or foreclosure cases, will not accept most filings, and prevents new judgments from being issued until May 4. Deadlines are also tolled until that date.",Court/Legislation,Y,,,,post-emergency,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,Y,deadlines tolled until June 1 + number of days left until deadline was set to expire as of March 16th,N,Y,Y,Y,Y,Y,Y,,N,N,N,,Y,,Y,Y,,,Y,,,Y,"For 120 days from the date of this notice or the duration of the state of emergency, whichever is longer.",,,MASSACHUSETTS
298,MICHIGAN (MI) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"On 6/26, the Governor passed EO 2020-134 extending the state's eviction moratorium to 7/15. When the moratorium ends on 7/16, the Eviction Diversion Program launches, awarding payments to landlords who agree not to evict tenants for housing debt accrued during COVID-19. Landlords must agree to waive late fees, and forgive up to 10% of the amount due. Households up to 100% of the state's median income are eligible for the program. Michigan's courts may still hear existing civil cases remotely or in-person if they have complied with the phased reopening plan created by the State Court Administrative Office. Court deadlines and deadlines to commence civil actions are tolled until 7/31. Property owners must submit verification that the property is exempt from the federal CARES Act moratorium.",Court/Governor,Y,,,,7/15/20,Eviction moratorium ends 7/15; Eviction Diversion Program begins 7/16,N,Y,Local Discretion,Y,Y,Y,N,Y,N,N,N/A,Y,44043,N,Y,N,N,In Effect Y,Y,N,Y,Y,Y,N,,,,,,,,,,,,,,,MICHIGAN
327,MINNESOTA (MN) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"On March 23, Governor Walz issued Emergency Executive Order 20-14 suspending eviction filings and executions beginning March 24 at 5:00 p.m., except for emergency endangerment cases, and through the duration of the state of emergency. The order also prohibits foreclosure filings where there is COVID-19 financial hardship.  On March 24, the Chief Justice amended the March 20 order to conform to the executive order. The Chief Justice initially suspended all non-high priority district court proceedings through 3/30. On May 1, the court resumed hearing cases, including evictions, remotely.",Court/Governor,Y,,,,end of emergency,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,Y,N,N/A,N,,N,N,Y,N,N,Y,N,,Y,N,N,,,,,,,,,,,,,,,MINNESOTA
341,MISSISSIPPI (MS) CURRENTSUMMARY,Eviction Cases can Resume (Remote or In-Person),"The State Supreme Court has directed local courts to determine their own court operations, although it has urged them to limit in-person proceedings. Most courts are still operating, and none clearly limit evictions. Hancock and DeSoto Justice Courts order that eviction proceedings continue to take place. Before its expiration on May 31, the Governor's executive order suspended all residential evictions, including single family homes, hotels, rental units, shelters, mobile home parks, and similar facilities used as an individual's principal dwelling.",Court,Y,,,,6/1/20,06/01/20,N,Y,Local Discretion,N,Y,Y,N,N,N/A,N/A,N/A,Local Discretion,,N,N,N,Local Discretion,N,Y,N,N,N,N,N,,,,Y,,,,,,,,,,,MISSISSIPPI
357,MISSOURI (MO) CURRENT SUMMARY,Local Discretion,"The Supreme Court has issued an operational directive related to reopening the courts to the public. A statewide order had suspended all in-person proceedings, but allowed eviction and foreclosure cases to proceed remotely.  Several judicial circuits have issued their own orders postponing eviction cases and directing that they be rescheduled. The mayor of St. Louis has directed the water authority not to shut off water through 5/15; and the City of St. Louis has suspended evictions.",Court,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,judges presiding over civil cases may waive non-statutorily imposed court deadlines for good cause shown,N,N,N,In Effect Y,N,N,N,,N,N,N,,,,,,,,,,,,,,,MISSOURI
