x2,state,current_status,state_summary,source_of_action,order_declaration_affects_residential_eviction_civil_proceedings,hyperlink_to_source_not_included_in_state_summary_row,date_of_issue,effective_date,expiration_date,date_moratorium_began_to_lift,expired_replaced,prohibits_law_enforcement_from_executing_new_and_past_orders_of_eviction,status_of_non_emergency_civil_court_proceedings,remote_hearings_allowed_in_non_emergency_civil_cases,applies_to_civil_cases_which_should_include_eviction_cases,applies_to_eviction_cases_directly,applies_to_commercial_eviction_directly,applies_to_foreclosure_or_foreclosure_eviction_cases_directly,exempts_criminal_activity_damage_to_property_emergency_nuisance_or_cases_to_protect_public_health_from_eviction_freeze,only_applies_to_certain_eviction_cases,if_limited_to_certain_eviction_cases_the_freeze_only_applies_to_these_cases_stage_in_the_process,tolls_extends_or_stays_court_deadlines,date_to_which_deadlines_are_tolled,suspends_all_five_stages_of_eviction_notice_filing_hearing_ruling_execution,x1_suspends_notice_of_eviction_to_tenant,x2_suspends_filing_of_eviction_claim,x3_suspends_hearings_on_eviction,x4_stays_order_judgment_or_writ_of_eviction,x5_suspends_enforcement_of_new_order_of_eviction,prohibits_issuance_of_late_fees_to_landlord,requires_certification_that_property_is_not_covered_under_cares_act_moratorium,order_declaration_discusses_effect_of_housing_on_public_health,order_declaration_discusses_economic_consequences_on_housing,model_order,brief_summary_of_what_order_does,moratorium_extended_past_emergency_declaration,free_utility_reconnection,no_utility_disconnection,no_reporting_to_credit_bureau,grace_period_to_pay_rent,length_of_time_for_grace_period,no_late_fees,length_of_time_for_no_late_fees,legal_counsel_for_tenants,no_rent_raises,length_of_time_for_no_rent_raises,foreclosure_moratorium,length_of_time_for_foreclosure_moratorium,state_field
364,MONTANA (MT) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"Governor Bullock issued an order on March 30th prohibiting landlords from terminating a lease or refusing to renew/extend the terms of a current lease agreement, at least on a month-to-month basis. This order was extended through April 24th but also significantly limited. The new order provides for a rental assistance program, but limits the eviction protections of the first order to tenants under quarantine, self-quarantine, or experiencing loss of inclome due to COVID-19. The governor's order also prohibits suspension of utilities during the emergency, including electricity, gas, sewage disposal, water, telephone, or internet services, and prohibits late fees for bills due. As of May 24, the Governor's executive order expired for almost all Montanans, but members of a vulnerable population who continue to shelter in place are still protected by it if they inform their landlord they are members of a vulnerable population, are sheltering in place, and have had a negative financial impact from COVID-19.",Court/Governor,Y,,,,end of emergency,05/24/20,,Y,Local Discretion,Y,Y,Y,N,Y,Y,N,N/A,N,,N,Y,Y,Local Discretion,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,,,,,MONTANA
376,NEBRASKA (NE) CURRENT SUMMARY,Eviction Cases Can Resume (In-Person),"Courts at the District and County levels determine whether to proceed with civil proceedings, including eviction proceedings.  Before its expiration on May 31, the Governor's order deferred a landlord's ability to proceed to trial in an eviction action if the tenant could prove that unpaid rent was related to COVID-19 loss of income or missed work due to school closures.",Governor,Y,,,,5/31/2020,6/1/2020,N,COVID-19 Related,N/A,N/A,N/A,Y,N,N,Y,Y,Non-payment related to COVID-19,N,N/A,N,N,N,Y,N,N,N,,N,Y,N,,,,,,,,,,,,,,,NEBRASKA
380,NEVADA (NV) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Governor signed an Executive Order on 6/25 detailing a plan to protect tenants while phasing in eviction proceedings. Residential summary eviction proceedings for non-payment/no cause and foreclosures will remain suspended until 9/1, and late fees for non-payment cannot be charged retroactively. Other residential evictions can resume 8/1. Commercial summary evictions can resume 7/1.The Governor is encouraging landlords to work out payment plans with tenants, and has announced a rental assistance plan to support tenants and ensure landlords recieve delinquent rents.",Governor,Y,,6/25/20,,6/30/20,,N,N,N/A,N/A,N/A,Y,Y,Y,N,N,N/A,N,N/A,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,,N,N,N,,Y,44075,N,N,,Y,44075,NEVADA
387,NEW HAMPSHIRE (NH) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,The Governor issued an emergency order halting eviction and foreclosure proceedings during the crisis. The order excludes evictions for lease or law violations that result in substantial damage to the property or substantial adverse impact on the health and safety of other persons. It does not apply to abandonment. It preempts any local orders.,Governor,Y,,,,07/01/20,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,Y,Y,Y,N,N/A,Y,extended to 6/16 unless in a landlord-tenant case where there is threat of harm,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,,,,Y,,,,Y,,,,,,,NEW HAMPSHIRE
406,NEW JERSEY (NJ) CURRENTSUMMARY,Eviction Cases & Enforcement Suspended,"Governor Phil Murphy signed an Executive Order on 3/19 that halts removal of residents pursuant to evictions or foreclosure proceedings. The EO does not halt initiation or continuation of eviction and foreclosure proceedings. In addition, the Supreme Court cancelled landlord/tenant calendars until April 26th and suspended evictions. The state has enacted a temporary rental assistance program. The New Jersey Housing and Mortgage Finance Agency has suspended rent increases at eligible facilities until the governor's order declaring a state of emergency is withdrawn (and after this there must be 30 days notice). The Assembly is also considering a bill that would require forbearance of residential and commercial mortgages, as well as other loans, and tenant rent upon request.",Court/Governor,Y,,,,post-emergency,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,Y,Y,N,N,N/A,Y,"Landlord/tenant calendars suspended until June 14, 2020",N,N,N,Y,Y,Y,N,,Y,Y,N,,,Y,Y,,,,Y,,,,,,,NEW JERSEY
429,NEW MEXICO (NM) SUMMARY,Nonpayment Eviction Enforcement Suspended,"The New Mexico Supreme Court has stayed the execution of writs of restitution for nonpayment of rent under NMSA 1978, Section 47-8-46 (A) if the resident has demonstrated by a preponderance of the evidence a current inability to pay rent. The New Mexico Supreme Court has also stayed the execution of writs of restitution for mobile homes. Two major cities in New Mexico have taken action: (1) Santa Fe: The mayor has placed a moratorium on evictions for non-payment of rent for tenants who can't afford to pay because of the pandemic. Water shut-offs are also banned. Collection of lodger’s taxes has been delayed, and all public buses are free; (2) Albuquerque: All evictions from city-owned properties are suspended.",Court,Y,,,,open,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N,Y,Non-payment,N,N/A,N,N,N,N,Y,In Effect Y,N,,Y,N,N,,,,,,,,,,,,,,,NEW MEXICO
436,NEW YORK (NY) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"The Chief Administrative Judge of the State of New York Unified Court System's 6/18/20 memorandum states that most eviction hearings remain suspended until July 8, 2020 when the Governor's Executive Order tolling deadlines to prosecut legal matters ends.  The Governor has also issued an Executive Order that prohibits initiation of and enforcement of eviction for nonpayment due to COVID-19 hardship for a period of 60 days beginning on June 20. The Governor's order also provides that landlords are prohibited from charging late fees from March 20, 2020, through August 20, 2020 and allows tenants to put their security deposits toward rent. The legislature has also enacted a measure that requires mortgage providers to offer mortgage forebearance for up to 180 days to mortgage holders, to refrain from charging late fees, and to not report late payments to credit reporting agencies.",Court/Governor,Y,,,,8/20/20 (governor),,N,Y,Local Discretion,N,Y,Y,Y,Y,N,Y,Non-payment,Y,,N,COVID-19 Related,COVID-19 Related,Y,N,COVID-19 Related,N,N,N,N,Y,,,,Y,Y,,,,,,,,Y,,NEW YORK
460,NORTH CAROLINA (NC) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"The Supreme Court of North Carolina has resumed ejectment and foreclosure actions as of June 21, and sheriffs are not required to execute pending writs until June 30. The Supreme Court also gave defendants 30 days to appear after a summons for a summary ejectment or small claims eviction is issued, prohibited courts from issuing a writ of possession in a summary ejectment proceeding without CARES Act certification, and created a mediation program for summary ejectement proceedings. The governor's executive order prohibiting evictions for nonpayment of rent expired on June 21, but the order granted tenants 6 months from the expiration of the order to pay back any rent that accrued while the order was in effect. Utility shut offs are prohibited through July 29.",Court,Y,,,,N/A,6/21/20,N,N,Local Discretion,Y,Y,Y,Y,Y,N,N,N/A,N,,N,N,N,N,N,N,Y,Y,N,N,N,,,,Y,,Y,,Y,,,,,,,NORTH CAROLINA
479,NORTH DAKOTA (ND) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"On April 24, the North Dakota Supreme Court amended its order suspending all residential eviction proceedings to allow evictions to resume remotely. County sheriffs in Clay, Cass, Grand Forks, and Burleigh counties have all stopped enforcing evictions. Cass County, Burleigh County, and Grand Forks County are home to the state's three largest cities, respectively Fargo, Bismarck, and Grand Forks.",Court,Y,,,,N/A,4/24/20,N,N,Local Discretion,N,Y,Y,N,N,N,N,N/A,Y,deadline to hold hearing in eviction case extended from 15 to 45 days,N,N,N,N,N,N,N,,N,N,N,,,,,,,,,,,,,,,NORTH DAKOTA
489,OHIO (OH) CURRENT SUMMARY,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdictions. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",Court,Y,,3/27/20,3/9/20,N/A,,N,N,Local Discretion,N,N,N,Y,N,N/A,N/A,N/A,Y,7/30/20,N,N,N,N,N,N,N,,N,N,N,,,,,,,,,,,,,,,OHIO
496,OKLAHOMA (OK) CURRENT SUMMARY,Local Discretion,"The Supreme Court of Oklahoma order staying civil cases is ambigious regarding its application to eviction cases. Many county-level district courts have stayed civil cases, but explicitly exempted forcible detainer and entry proceedings. The Supreme Court has closed all courts to public and extended court deadlines and statute of limitations through 5/15/20, but has stated they will begin to run and courts will begin to schedule non-jury hearings on 5/16. The court has also stated that orders issued from 3/16 to 5/15 are presumptively valid and enforceable, which means that the over 1500 orders of eviction issued since the beginning of the pandemic will be enforceable once law enforcement personnel are available.",Court,Y,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/15/20,N,N,N,Local Discretion,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,OKLAHOMA
503,OREGON (OR) CURRENT SUMMARY,Eviction Cases & Nonpayment Eviction Enforcement Suspended,"The Chief Judge of Oregon postponed all first appearances and trials for evictions, and many county circuit courts postponed all eviction related matters. The Governor of Oregon issued Executive Order No. 20-11, which places a temporary moratorium on execution of residential evictions related to non-payment; and Executive Order No. 20-13, which places a temporary moratorium on landlord terminations of residential rental agreements and non-residential leases. The Governor's order also prohibits charging late fees. Most counties and some cities have also limited the eviction moratorium to non-payment cases, and a few have extended it to no-cause evictions. Under the Chief Judge's order, while hearings and proceedings for civil cases are generally postponed, cases with statutory or constitutional mandates requiring them to be held during the moratorium period will still continue. The Chief Justice has ordered the postponement of all appearances and trials in forcible entry and detainer cases until July 1, 2020.",Court/Governor,Y,,,,9/30/20,,N,Y,Local Discretion,Y,Y,Y,Y,N,N,Y,Non-payment,N,N/A,N,Y,Y,Y,N,Nonpayment,Y,N,Y,Y,Y,,,,,,,,,,,,,,,OREGON
513,PENNSYLVANIA (PA) CURRENT SUMMARY,Eviction Cases Suspended,"The Governor issued an executive order preventing the filing of an eviction for nonpayment of rent and tolling any evictions for 60 days until July 10, 2020. The Supreme Court of Pennysylvania initially placed a freeze on eviction proceedings and judgments through 5/1/20. Supplemental orders have extended this to 5/11/20, after which time the suspension of these proceeings ""shall cease."" The state has announced statewide programs to provide rent and mortgate relief to eligible applicants.",Court,Y,,,,7/10/20,,N,Y,All Suspended,N,Y,Y,N,Y,N,N,Non-payment,Y,7/10/20,Y,Y,In Effect Y,In Effect Y,Y,Y,N,,N,Y,Y,,,,Y,,,,,,,,,,,PENNSYLVANIA
529,RHODE ISLAND (RI) CURRENT SUMMARY,Evictions Can Resume (Remote),"The Rhode Island Supreme Court has issued an order stating that evictions will be scheduled as of June 2. Filing of new eviction cases, which had been suspended since March 17, may also resume on June 2. When filing eviction cases, Plaintiffs must affirm that the property is not covered by the federal CARES Act moratorium. The state's Public Utilities Commission has issued a moratorium on utility shutoffs until 7/13 for residential customers. The state has also announced a program to provide rent relief to eligible applicants.",Court,Y,,,,6/1/20,6/1/20,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,5/29/20 (only deadlines that would have expired between 3/17 and 5/17),N,N,Y,Y,N,N,N,Y,N,N,N,,,,Y,,,,,,,,,Y,,RHODE ISLAND
543,SOUTH CAROLINA (SC) CURRENT SUMMARY,Eviction Cases can Resume (Remote),"The Supreme Court of South Carolina issued an order that all evictions will resume on 5/15/20. CARES act certifications for eviction and foreclosure actions must be filed either with initial case filings or, for continuing actions, before the action proceeds once the Supreme Court's moratorium ends.",Court,Y,,,,5/15/20,5/15/20,N,N,Local Discretion,Y,Y,Y,N,Y,Y,N,N/A,Y,5/22/20,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,,,,,,,,,,,,,,,SOUTH CAROLINA
554,SOUTH DAKOTA (SD) CURRENT SUMMARY,Local Discretion,"The Supreme Court of the State of South Dakota declared a judicial emergency and authorized circuit courts to adoopt, modify or suspend court rules to prevent the spread of COVID-19. None of the circuit court orders suspend evictions or civil proceedings generally. The Governor has explicitly stated that she will not consider an eviction or utility shutoff moratorium. One of South Dakota's largest utilities provider has implemented a moratorium on service disconnections for nonpayment, as have the cities of Brookings, Rapid City and Sioux Falls. Finally, the city of Sioux Falls has established a fund to help residents adversely affected by COVID-19; the Sioux Falls Metropolitan Statistical Area (Minnehaha, Lincoln, McCook and Turner counties) has done similarly, to help residents avoid ""evictions and financial hardships.""",Court,Local Discretion,,,,N/A,,N,N,Local Discretion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Local Discretion,,N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,,N,N,N,,,,N,,,,,,,,,,,SOUTH DAKOTA
559,TENNESSEE (TN) CURRENT SUMMARY,Eviction Cases can Resume (Remote),"Supreme Court of Tennessee requires that a party seeking eviction must file a declaration that the property is not covered by the CARES Act no later than 10 days prior to any hearing. The Supreme Court continues to encourage remote hearings. Local courts have have issued additional orders and the Davidson County's Sheriff suspended all evictions, foreclosures, and utility shutoffs until further notice.",Court,N,,,,5/31/20,6/1/20,N,N,All Suspended,Y,Y,Y,N,N,Y,Y,Non-payment,Y,6/5/20,N,N,N,Y,In Effect Y,N,N,Y,N,Y,N,,,Y,Y,,,,,,,,,,,TENNESSEE
567,TEXAS (TX) CURRENTSUMMARY,Eviction Cases can Resume (Remote or In-Person),The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act.,Court,Y,,,,5/19/20,5/19/20,N,Y,Local Discretion,Y,Y,Y,N,N,Y,N,N/A,Y,08/15/20 (deadlines for filing or service in any civil case) [¶ 11],N,N,Y,Y,Y,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,TEXAS
576,UTAH (UT) CURRENT SUMMARY,Evictions Can Resume (Remote),"The Governor let the emergency eviction moratorium passed 3/31 expire on 5/15. The Utah Supreme Court activated the Pandemic Response Plan and alloweed local courts to implement their own district pandemic response plans. District courts are instructed to prioritize mission critical functions, which do not include eviction hearings. The state has passed relief measures to provide rental assistance for residential tenants who are not receiving unemployment, as well as commercial renters.",Court/Governor,COVID-19 Related,,,,5/15/20 (governor),5/15/20,N,COVID-19 Related,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N/A,Y,Non-payment related to COVID-19,N/A,N/A,N,N,N,N,N,COVID-19 Related,N,N,Y,Y,N,,,,,,,,,,,,,,,UTAH
586,VERMONT (VT) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Supreme Court of Vermont had suspended all non-emergency civil cases, at the discretion of the judge, but ordered hearings resume on June 1. State lawmakers passed and the governor signed on May 14 emergency legislation that stays evictions cases, orders and executions until the end of the emergency.",Court,Y,,,,end of emergency,,N,N,Local Discretion,Y,Y,Y,N,N,Y,N,N/A,N,N/A,N,N,N,Y,Y,Y,N,,N,N,N,,,,,,,,,,,,,,,VERMONT
597,VIRGINIA (VA) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"Virginia has enacted legislation that grants a 60-day continuance of an eviction action if a tenant can prove they were affected by the COVID-19 pandemic and a 30-day continuance of a foreclosure action if the homeowner can prove they were affected by the pandemic. The continuance period is tolled for the period of any state judicial emergency. The Supreme Court of Virginia had ended its moratorium on all eviction proceedings on May 17, 2020, but then reinstated it on June 8 at the request of the Governor to give the state time to put in place a rent relief program. The renewed moratorium on hearings and enforcement will currently end on June 28.  The Attorney General has sent warning letters to landlords threatening to evict tenants during the COVID-19 pandemic.",Court/Governor,Y,,,,6/28/20,5/17/20,N,Y,Local Discretion,Y,Y,Y,N,N,Y,Y,Non-payment,N,6/7/20,N,N,N,Y,Y,N,N,N,Y,N,N,,,,Y,,,,,,,,,,,VIRGINIA
613,WASHINGTON (WA) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Governor of Washington issued a temporary moratorium on residential evictions and prohibited law enforcement from enforcing past orders of eviction until August 1, 2020. The order also forbids assessing late fees or raising rent during this period. It further requires landlords to offer reasonable repayment plans when non-payment was a result of Covid-19 related hardship. Cases in which the landlord/owner can show that eviction is necessary for health or safety or where the landlord seeks to sell or personally occupy the property are excepted. The city of Seattle has also extended the right to a repayment plan, a moratorium on late fees, and established the inability to pay rent as a defense to eviction for 6 months after the civil emergency expires.",Court/Governor,Y,,,,8/1/20 (governor),,N,N,Local Discretion,Y,Y,Y,Y,N,Y,N,N/A,N,N/A,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,Y,Y,,,,,,,Y,,,,WASHINGTON
632,WEST VIRGINIA (WV) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"The West Virginia Supreme Court of Appeals issued an order staying all trials, proceedings, statutes of limitations and other court deadlines for non-emergency actions between March 22 and May 15. Courts to resume in person proceedings on May 18. The city of Morgantown has suspended utilities service disconnections.",Court,Y,,,,N/A,5/15/20,N,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,Y,5/18/20 (for deadlines expiring between 3/23 and 4/17); 6/12/20 (for deadlines expiring between 4/18 and 5/15),N,N,N,In Effect Y,N,N,N,,N,N,N,,,,,,,,,,,,,,,WEST VIRGINIA
638,WISCONSIN (WI) CURRENT SUMMARY,Evictions Can Resume (Remote),"The Supreme Court of Wisconsin has suspended in person hearings statewide and is requiring the use of technology in lieu of in person courtroom appearances. Wisconsin has directed court personnel to conduct proceedings using technology but has not cancelled or continued proceedings generally and left discrection to local courts. Some county circuit courts have postponed many types of hearings, often including eviction cases. In some locations, however, circuit courts have specified that evictions will proceed, in some cases noting that appearances should occur by telephone. There is a statutory time limit in Wisconsin for scheduling hearings after a party has raised a defense in an eviction action. (Wis. Stat. 799.206) In Wisconsin, evictions are small claims cases.  Beginning June 8, the Wisconsing Dept. of Administration will begin taking applications for its Rental Assistance Program. Eligible applicants may receive up to $3000.",Court/Governor,Y,,,,5/28/20 (governor),,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,Y,Y,Y,Y,Non-payment,N/A,N/A,N,Y,Y,N,In Effect Y,Y,N,,Y,Y,Y,,,,,,,,,,,,,,,WISCONSIN
648,WYOMING (WY) SUMMARY,Local Discretion,"The Supreme Court of Wyoming orders that in person cases ""should"" be suspended and encourages the use of remote technology.",Court,Local Discretion,,,,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Local Discretion,N,N,N,,N,N,N,,,,,,,,,,,,,,,WYOMING
656,AMERICAN SAMOA (AS) SUMMARY,No Order/Declaration,No order,No Order/ Declaration,No Order/ Declaration,,,,N/A,,N/A,No Order/ DeclaratioN,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,N/A,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,No Order/ Declaration,No Order/ Declaration,N,,,,,,,,,,,,,,,AMERICAN SAMOA
659,DISTRICT OF COLUMBIA (DC) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The DC Superior Court suspended landlord tenant and civil cases and stayed eviction and foreclosure cases until at least May 15. The D.C. Council passed emergency legislation prohibiting filing and execution of evictions, foreclosures, and late fees during the time period for which the Mayor has declared a public health emergency. The legislation also prohibits utility shutoffs and requires a COVID-19 hardship alert on any consumer report. If a property has 5 or more units, property owners must offer tenants a payment plan program for past due rent and cannot report any tenant participating in the program to collections.",Court/Legislation,Y,,,,post-emergency,,N,Y,All Suspended,N,Y,Y,N,Y,N,Y,Non-payment,Y,7/24/20,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,,Y,,Y,,,,,,,,,Y,,DISTRICT OF COLUMBIA
674,FEDERATED STATES OF MICRONESIA (FM) SUMMARY,No Order/Declaration,"The FSM National Judiciary issued an order tolling deadlines expiring between 4/3 and 4/30 until 5/22, and encouraging courts to come up with plans to continue essential functions. The order allows civil proceedings to be held remotely upon request but does not suspend nonessential proceedings.",Court,Y,,4/3/20,4/3/20,open,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,filing deadlines from 4/3--4/30 are tolled to 5/22,N,N,N,N,N,N,N,,N,N,N,Tolls deadlines; allows remote proceedings upon request. Nothing is suspended but order requests that courts plan for an outbreak/how to continue essential functions,,,,,,,,,,,,,,FEDERATED STATES OF MICRONESIA
677,GUAM (GU) SUMMARY,Eviction Cases & Enforcement Suspended,"The Supreme Court of Guam has suspended all civil and criminal cases and tolled filing deadlines through 4/15/20. The Governor of Guam issued an emergency declaration prohibiting the initiation of any eviction or foreclosure actions involving real estate or property, whether rental or otherwise and tolled eviction and foreclosure actions currently in process for the duration of the public health emergency. The order does not clearly halt execution of past orders of eviction.",Court/Governor,Y,,,,6/5/20 (court) end of public health emergency (governor),,N,N,All Suspended,N,Y,Y,Y,Y,N,N,N/A,Y,6/5/20 (court) duration of public health emergency (governor),N,N,Y,Y,Y,Y,N,,N,N,N,,,,,,,,,,,,,,,GUAM
685,MARSHALL ISLANDS (MH) SUMMARY,No Order/Declaration,No Order,No Order/ Declaration,No Order/ Declaration,N/A,,,N/A,,N/A,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,No Order/ Declaration,,No Order/ Declaration,No Order/ Declaration,N,,,,,,,,,,,,,,,MARSHALL ISLANDS
688,NORTHERN MARIANA ISLANDS (MP) SUMMARY,Civil Cases Suspended,"All civil trials are suspended and will be resecheduled after June 5. This should include evictions, although the order does not mention them explicitly.",Court,Y,,4/1/20,4/4/20,6/5/20,,N,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,N,,N,N,N,In Effect Y,N,N,N,,N,N,N,All civil trials/hearings postponed to date after 6/5,,,,,,,,,,,,,,NORTHERN MARIANA ISLANDS
692,PALAU (PW) SUMMARY,Civil Cases Suspended,"The Supreme Court of the Republic of Palau suspended normal court operations, including in person hearings and proceedings with limited exceptions (non-housing related) and tolled the filing dates until 4/17/20.",Court,Y,,,,4/17/20,,N,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,Y,4/17/20,N,N,N,In Effect Y,N,N,N,,N,N,N,,,,,,,,,,,,,,,PALAU
697,PUERTO RICO (PR) SUMMARY,Civil Cases Suspended,"The United States District Court of Puerto Rico suspended all civil cases and stayed all eviction proceedings in foreclosure cases, citing the eviction moratorium issued by the U.S. Department of Housing and Urban Development and Federal Housing Finance Agency. The Court also denied all motions filed and pending judicial action in those foreclosure cases, which can be refiled on 5/30/20. Utility disconnections have been suspended.",Court,Y,,,,7/6/20 (civil) 5/30/20 (foreclosure),,N,N,All Suspended,N,Y,N,N,Y,N/A,N/A,Post-Foreclosure Eviction,N,N/A,N,N,N,In Effect Y,N,N,N,,N,N,N,,,,,,,,,,,,,,,PUERTO RICO
707,VIRGIN ISLANDS (VI) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Supreme Court of the Virgin Islands stayed all orders of eviction and foreclosure not yet executed until 6/15/20. As of 06/15/20, a party seeking an eviction order must provide notice to the tenant and the court that the property is not covered under the CARES Act.",Court,Y,,,,6/11/20,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N/A,N,N/A,Y,43996,N,N,Y,In Effect Y,Y,N,N,Y,N,N,N,,,,,,,,,,,,,,,VIRGIN ISLANDS
